#START7777
# YYMMDDHHMI   STN IW IR IX CH VV CA  WD   WS    TA    TD    HM     PA     PS PT     PR     RN RH WC WP CD CL CM CT  S19    TM    Tm  S33  S34  S35  S36  S37  S28  S29
#        UTC    ID -- -- -- -- --  8 deg  m/s     C     C     %    hPa    hPa --    hPa     mm 6h -- --  8 -- -- -- ----     C     C ---- ---- ---- ---- ---- ---- ----
202211300900 47406  4  4  7 -9 65 -9 270 11.0  -2.3  -7.4  68.0 1009.8 1013.0  3    2.4  -99.0  0 71 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47407  4  4  7 -9 70 -9 260  6.5  -3.5  -8.2  69.9  994.8 1012.6  3    2.9  -99.0  0 24 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47409  4  4  7 -9 70 -9 300  7.0   0.7  -7.5  54.2 1003.0 1008.4  3    1.8  -99.0  0  0 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47411  4  4  7 -9 69 -9 240  3.5  -3.5  -8.0  71.0 1011.2 1014.6  2    2.7  -99.0  0 71 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47412  4  4  1 -9 58  6 300  5.0  -2.4  -8.9  60.9 1011.3 1014.6  2    2.9  -99.0  0 26 88  6  2  0  0 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47413  4  4  7 -9 70 -9 260  6.0  -2.6  -7.9  66.9 1007.8 1014.4  3    2.7  -99.0  0 24 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47417  4  4  5 -9 70 -9 290  7.5   0.8 -12.2  37.1 1004.7 1010.2  1    2.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47418  4  4  5 -9 70 -9 270  8.0   3.1  -9.2  40.0 1004.8 1009.7  3    2.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47420  4  4  5 -9 70 -9 260  8.5   3.9  -5.8  49.1 1005.0 1008.4  3    1.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47421  4  4  7 -9 62 -9 290  3.0  -3.2  -7.7  71.0 1011.8 1016.3  1    2.8  -99.0  0 71 77 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47423  4  4  7 -9 70 -9 300 10.5  -1.8  -9.0  57.8 1009.4 1015.7  1    3.6  -99.0  0 24 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47424  4  4  5 -9 70 -9 290  6.0  -1.6 -11.4  47.1 1014.5 1015.5  3    3.3  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47426  4  4  7 -9 70 -9 290 12.0   2.4  -5.2  57.2 1007.3 1012.1  1    2.1  -99.0  0  0 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47428  4  4  7 -9 61 -9 300 12.0  -0.5  -6.3  64.8 1016.1 1017.6  3    2.9  -99.0  0 71 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47430  4  4  7 -9 70 -9 290  8.5  -1.3  -8.9  56.2 1011.1 1016.7  2    3.2  -99.0  0 24 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47433  4  4  7 -9 13 -9 230  2.5  -5.3  -7.3  85.8  991.5 1015.5  1    2.4  -99.0  0 71 77 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47435  4  4  7 -9 33 -9 290  5.5  -2.9  -7.0  73.3 1007.9 1010.1  3    2.9  -99.0  0 71 77 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47440  4  4  5 -9 70 -9 280  2.5   2.2 -10.0  40.0 1006.8 1011.1  3    2.9  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47512  4  4  5 -9 70 -9 300  2.5   8.7   2.5  65.0 1009.5 1014.2  1    4.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47520  4  4  7 -9 70 -9 300  3.5   5.7   3.2  83.9 1004.9 1017.5  1    4.8  -99.0  0 61 60 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47570  4  4  7 -9 70 -9 250  5.5   7.6   4.9  83.0  991.6 1017.6  1    6.2  -99.0  0  0 60 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47574  4  4  7 -9 70 -9 270  7.5   2.0  -3.5  66.9 1010.8 1019.3  3    3.9  -99.0  0 71 76 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47575  4  4  7 -9 44 -9 260  5.0   1.1  -0.7  87.8 1017.0 1017.5  1    3.3  -99.0  0 71 76 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47576  4  4  7 -9 47 -9 270  4.0   0.6  -2.8  77.9 1015.5 1016.1  2    3.2  -99.0  0 71 76 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
